0	0	240	66370
6870	0	6990	950
6870	2350	6990	16720
6870	17020	6990	18240
6870	21550	6990	23140
6870	23940	6990	24440
6870	25040	6990	40310
6870	29320	6990	30220
6870	31520	6990	40310
6870	41710	6990	43410
6870	45510	6990	52460
6870	53310	6990	60310
6870	61710	6990	62530
6870	63380	6990	66370

9690	3750	9810	15040
9690	17540	9810	18830
9690	20230	9810	26450



9690	27300	9810	32880
9690	33730	9810	34550
9690	35400	9810	40930
9690	41780	9810	42600
9690	43450	9810	48730
9690	49880	9810	50350
9690	58330	9810	60430
9690	61830	9810	66370
10120	0	10240	1250
10120	2650	10240	3860


16190	17580	16430	66370
32520	0	32760	18480
0	0	32760	240
0	9180	6990	9300
0	18120	6990	18240
0	21550	6990	21670
0	27010	6990	27130
0	41960	6990	42080
0	50060	6990	50180
0	53660	6990	53780
0	62060	6990	62180
0	66130	16310	66370
9690	3740	10240	3860


9690	14920	10240	15040
9690	17340	32760	17580
9690	25980	16310	26100
9690	30030	16310	30150
9690	34080	16310	34200
9690	38105	16310	38225
9690	42130	16310	42250
9690	46180	16310	46300
9690	50230	16310	50350
9690	54130	16310	54250
9690	58330	16310	58450
9690	66130	16310	66370

13130	1140	14330	7140
16130	1140	17330	7140
19070	1140	20270	7140
21730	1140	22930	7140
24960	1140	26160	7140
27910	1140	29110	7140

13130	9340	14330	15340
16130	9340	17330	15340
19070	9340	20270	15340
21920	9340	23120	15340
24960	9340	26160	15340
27910	9340	29010	15340



