0	0	240	66370
6870	0	6990	950
6870	2350	6990	16520
6870	17920	6990	18240
6870	21550	6990	23140
6870	23940	6990	24440
6870	25040	6990	28120
6870	29320	6990	30220

6870	31520	6990	40310
6870	41610	6990	44210
6870	45510	6990	52460
6870	53310	6990	60310
6870	61710	6990	62530
6870	63380	6990	66370
9690	3750	9810	15040
9690	17540	9810	18830
9690	20230	9810	26450
9690	27300	9810	32880
9690	33730	9810	34550
9690	35400	9810	40930
9690	41780	9810	42600
9690	43450	9810	49030
9690	49880	9810	50350
9690	58330	9810	60430
9690	61830	9810	66370
10920	0	11040	1250
10920	2650	11040	3860
10920	14930	11040	15790
10920	17190	11040	17660
16190	18240	16310	66370
32520	0	32760	18480
0	0	32760	240
0	9180	6990	9300
0	18120	6990	18240
0	21550	6990	21670
0	27010	6990	27130
0	41960	6990	42080
0	50060	6990	50180
0	53660	6990	53780
0	62060	6990	62180
0	66130	16310	66370
9690	3740	11040	3860
9690	14920	11040	15040
9690	17540	11040	17660
9690	18240	32760	18480
9690	25980	16310	26100
9690	30030	16310	30150
9690	34080	16310	34200
9690	38105	16310	38225
9690	42130	16310	42250
9690	46180	16310	46300
9690	50230	16310	50350
9690	54130	16310	54250
9690	58330	16310	58450
9690	66130	16310	66370
